Bluesky Communications,@psms.bluesky.as,AS
CTI Movil,@sms.ctimovil.com.ar,AR
Movistar,@sms.movistar.net.ar,AR
Nextel,@TwoWay.11nextel.net.ar,AR
Personal,@alertas.personal.com.ar,AR
Setar,297@mas.aw,AW
Optus Mobile,0@optusmobile.com.au,AU
Telstra,@online.telstra.com.au,AU
MaxMobil,@maxmail.at,AT
One Connect,@onemail.at,AT
T-Mobile,43@sms.t-mobile.at,AT
MTS,@sms.mts.by,BV
Mobistar,@mobistar.be,BE
Mobility,@ml.bm,BM
BH Mobile (BH Telecom),387@sms.bhmobile.ba,BA
Claro,@clarotorpedo.com.br,BR
Nextel,@nextel.com.br,BR
Globul,359@sms.globul.bg,BG
Mtel,35988@sms.mtel.net,BG
Vivacom,359'@sms.vivacom.bg,BG
Bell,@txt.bell.ca,CA
Bell Mobility,@txt.bellmobility.ca,CA
Koodo Mobile,@msg.koodomobile.com,CA
Fido (Microcell),@fido.ca,CA
Manitoba Telecom Systems,@text.mtsmobility.com,CA
NBTel,@wirefree.informe.ca,CA
PageNet,@pagegate.pagenet.ca,CA
Rogers,@pcs.rogers.com,CA
Sasktel,@sms.sasktel.com,CA
Telus,@msg.telus.com,CA
Virgin Mobile,@vmobile.ca,CA
Bell South,@bellsouth.cl,CL
China Mobile,@139.com,CN
Comcel,@comcel.com.co,CO
Movistar,@movistar.com.co,CO
Tigo,@sms.colombiamovil.com.co,CO
ICE,@ice.cr,CR
T-Mobile,385@sms.t-mobile.hr,HR
Eurotel,+ccaa@@sms.eurotel.cz,CZ
O2,00420@sms.cz.o2.com,CZ
Oskar,@mujoskar.cz,CZ
Sonofon,@note.sonofon.dk,DK
Tele Danmark Mobil,@sms.tdk.dk,DK
Telia Denmark,@gsm1800.telia.dk,DK
Digicel,@digitextdm.com,DM
Claro Codetel,@claro.net.do,DO
Tricom,@movil.tricom.net,DO
EMT,@sms.emt.ee,EE
Orange,@orange.fr,FR
SFR,@sfr.fr,FR
Georgia geocell,0@sms.ge,GE
E-Plus,0@sms@eplus.de,DE
Mobilis,0@mobilis.de,DE
Mannesmann Mobilefunk,@d2-message.de,DE
O2,0@o2online.de,DE
Simyo,@eplus.de,DE
T-Mobile,+49@t-d1-sms.de,DE
Vodafone,0@vodafone-sms.de,DE
CSL,@mgw.mmsc1.hkcsl.com,HK
PGSM,36@sms.pgsm.hu,HU
OgVodafone,@sms.is,IS
Siminn,@box.is,IS
Aircel,@aircel.co.in,IN
AirTel,91@airtelmail.com,IN
AirTel Tamil Nadu,91@airtelmobile.com,IN
BPL mobile,@bplmobile.com,IN
Chennai Skycell / Airtel,91@airtelchennai.com,IN
Idea Cellular,@ideacellular.net,IN
Meteor,@mms.mymeteor.ie,IE
Cellcom,@cellcom.co.il,IL
Israel Orange IL,@shiny.co.il,IL
Spikko,@spikosms.com,IL
Omnitel,0@mail.omnitel.it,IT
Telecom Italia Mobile,0@timnet.com,IT
Vodafone,@sms.vodafone.it,IT
Vodafone Omnitel,@vizzavi.it,IT
Wind,@txt.windmobile.it,IT
Digicel,1876@digitextjm.com,JM
AU by KDDI,@ezweb.ne.jp,JP
NTT DoCoMo,@docomo.ne.jp,JP
Vodafone Chuugoku/Western,@n.vodafone.ne.jp,JP
Vodafone Hokkaido,@d.vodafone.ne.jp,JP
Vodafone Hokuriko/Central North,@r.vodafone.ne.jp,JP
Vodafone Kansai/West Osaka,@k.vodafone.ne.jp,JP
Vodafone Kanto/Koushin/East Tokyo,@t.vodafone.ne.jp,JP
Vodafone Kyuushu/Okinawa,@q.vodafone.ne.jp,JP
Vodafone Shikoku,@s.vodafone.ne.jp,JP
Vodafone Touhoku/Niigata/North,@h.vodafone.ne.jp,JP
Vodafone Toukai/Central,@c.vodafone.ne.jp,JP
Willcom,@pdx.ne.jp,JP
Willcom di,@di.pdx.ne.jp,JP
Willcom dj,@dj.pdx.ne.jp,JP
Willcom dk,@dk.pdx.ne.jp,JP
Bite,371@biteplus.lv,LV
Kyivstar,@smsmail.lmt.lv,LV
LMT,@sms.lmt.lv,LV
Tele2,371@sms.tele2.lv,LV
Cellis / LibanCell,961@ens.jinny.com.lb,LB
Bite GSM,@sms.bite.lt,LT
P&T Luxembourg,@sms.luxgsm.lu,LU
Celcom,0@sms.celcom.com.my,MY
Emtel,@emtelworld.net,MU
Nextel,@msgnextel.com.mx,MX
Iusacell,@rek2.com.mx,MX
Telcel(America Movil),@itelcel.com,MX
Ncell (Mero Mobile),+977@sms.ncell.com.np,NP
Dutchtone / Orange-NL,0@sms.orange.nl,NL
T-Mobile,31@gin.nl,NL
Telecom New Zealand,@etxt.co.nz,NZ
Vodafone,@mtxt.co.nz,NZ
Claro,@ideasclaro-ca.com,NI
Netcom,@sms.netcom.no,NO
Telenor,@mobilpost.no,NO
Telenor 2,@gsm-tekst.telemax.no,NO
Mobilink,@mobilinkgsm.com,PK
Warid,@waridtel.com,PK
ZONG,@zongsms.pk,PK
Cable and Wireless,@cwmovil.com,PA
Orange Polska,@orange.pl,PL
Plus GSM,+48@text.plusgsm.pl,PL
Optimus,@sms.optimus.pt,PT
Telcel (TMN),@sms.telecel.pt,PT
Claro,@vtexto.com,PR
Open Mobile,@email.openmobilepr.com,PR
AKOS,+7@sms.akos.ru,RU
BaikalWestCom,@sms.bwc.ru,RU
